#timestamp x y z qx qy qz qw
0.100000 0.000002 -0.000002 -0.000000 -0.000000 0.000024 -0.000000 1.000000
15.973000 0.124318 0.013396 -0.000702 0.000057 -0.000155 -0.000110 1.000000
16.435000 0.244572 0.022130 -0.002603 0.000118 -0.000377 -0.000594 1.000000
16.963000 0.370839 0.024282 -0.002071 0.000029 -0.000361 -0.000927 1.000000
17.491000 0.493169 0.026277 -0.001552 -0.000060 -0.000343 -0.001259 0.999999
17.953000 0.604141 0.028199 -0.001049 -0.000149 -0.000299 -0.001730 0.999998
18.415000 0.714426 0.029990 -0.000562 -0.000238 -0.000233 -0.002326 0.999997
18.910000 0.829690 0.042893 -0.000506 -0.000223 -0.000272 0.068633 0.997642
19.141000 0.874773 0.056998 -0.000469 -0.000241 -0.000331 0.119993 0.992775
19.372000 0.877663 0.066766 -0.000460 -0.000242 -0.000379 0.190067 0.981771
19.603000 0.869328 0.079100 -0.000462 -0.000257 -0.000415 0.292838 0.956162
19.867000 0.856748 0.094155 -0.000832 -0.000420 -0.000465 0.412558 0.910931
20.098000 0.844876 0.103315 -0.001209 -0.000592 -0.000504 0.500700 0.865621
21.814000 0.846597 0.137525 -0.001583 -0.000744 -0.000520 0.566218 0.824255
22.045000 0.838278 0.141503 -0.001958 -0.000892 -0.000535 0.615846 0.787866
22.276000 0.821777 0.142738 -0.002352 -0.001075 -0.000498 0.694190 0.719791
22.540000 0.800455 0.130647 -0.003113 -0.000892 -0.000136 0.781603 0.623775
22.771000 0.784541 0.117911 -0.003546 -0.000735 0.000141 0.838083 0.545543
23.000000 0.893448 0.036682 -0.003825 -0.000514 0.000379 0.875123 0.483900
23.233000 0.771358 0.120435 -0.004363 -0.000535 0.000505 0.858675 0.512520
23.695000 0.736443 0.216862 -0.004911 -0.000579 0.000610 0.831627 0.555334
24.190000 0.697029 0.320097 -0.005488 -0.000591 0.000731 0.826829 0.562453
24.652000 0.658629 0.416250 -0.006064 -0.000575 0.000846 0.827912 0.560858
26.203000 0.613616 0.510049 -0.006640 -0.000519 0.000960 0.843250 0.537521
26.698000 0.556326 0.604243 -0.007214 -0.000429 0.001061 0.863523 0.504309
27.193000 0.495736 0.698134 -0.007780 -0.000331 0.001147 0.873886 0.486129
27.424000 0.469436 0.740770 -0.003696 -0.000971 0.000716 0.877997 0.478665
28.117000 0.426450 0.771041 0.000005 -0.001423 0.000372 0.931896 0.362722
28.348000 0.414433 0.744430 0.006124 -0.001511 0.000399 0.970558 0.240861
28.579000 0.408956 0.725839 0.006882 -0.001595 0.000518 0.991503 0.130073
28.810000 0.408320 0.715178 0.007639 -0.001703 0.000572 0.997427 0.071665
29.437000 0.310520 0.743293 0.007994 -0.001872 0.000412 0.991827 0.127578
29.899000 0.206510 0.766249 0.008296 -0.002042 0.000417 0.993664 0.112371
30.361000 0.100200 0.791229 0.008656 -0.002221 0.000309 0.996311 0.085792
31.054000 -0.040031 0.820460 0.008377 -0.003073 0.000422 0.994457 0.105104
31.318000 -0.087886 0.864567 0.006072 -0.003928 0.000148 0.979233 0.202698
31.549000 -0.133681 0.891252 0.009744 -0.003859 0.000096 0.962181 0.272385
31.780000 -0.174585 0.930629 0.007770 -0.003405 0.000124 0.945404 0.325882
32.011000 -0.207039 0.973063 0.009003 -0.003159 0.000083 0.924782 0.380484
32.275000 -0.243187 1.024862 0.006712 -0.002642 0.000041 0.900601 0.434639
32.770000 -0.292684 1.109126 0.003744 -0.001733 0.000031 0.876101 0.482125
34.222000 -0.291509 1.069868 -0.002509 -0.000897 0.000623 0.943202 0.332217
34.453000 -0.298606 1.052915 0.002376 -0.000794 0.000268 0.976638 0.214891
34.684000 -0.303234 1.030873 0.005797 -0.002011 0.000497 0.993475 0.114028
34.948000 -0.304507 1.019691 0.010205 -0.003188 0.000951 0.998434 0.055847
36.466000 -0.330184 1.031955 0.016623 -0.004773 0.001162 0.990887 0.134603
36.697000 -0.371295 1.077471 0.012917 -0.004589 0.000443 0.972018 0.234860
36.928000 -0.407688 1.120816 0.014244 -0.004727 0.000144 0.942028 0.335502
37.225000 -0.446677 1.181616 0.010636 -0.003832 -0.000125 0.895588 0.444868
37.489000 -0.477588 1.232804 0.008443 -0.003135 -0.000220 0.862019 0.506866
37.753000 -0.508178 1.285959 0.007975 -0.002674 -0.000085 0.835211 0.549923
38.446000 -0.529393 1.333227 0.004357 -0.002502 -0.000096 0.869547 0.493845
38.677000 -0.543945 1.318686 0.008048 -0.002796 -0.000074 0.919956 0.392013
38.908000 -0.554475 1.305412 0.010958 -0.002839 0.000073 0.955284 0.295676
39.205000 -0.558366 1.299551 0.004737 -0.001772 0.000186 0.970066 0.242833
39.667000 -0.617916 1.354628 0.004888 -0.002222 0.000240 0.943467 0.331460
39.898000 -0.639860 1.401105 0.005406 -0.002508 0.000100 0.898230 0.439518
40.129000 -0.644932 1.453060 0.004733 -0.002810 -0.000091 0.839550 0.543274
40.360000 -0.645187 1.515917 0.001775 -0.002662 -0.000476 0.769613 0.638505
40.591000 -0.636649 1.570338 0.001056 -0.002539 -0.000902 0.698383 0.715719
40.822000 -0.625495 1.621162 0.001165 -0.002034 -0.001315 0.637152 0.770734
41.053000 -0.601852 1.664279 0.000961 -0.001551 -0.001624 0.574097 0.818784
42.241000 -0.580666 1.679700 0.000957 -0.001548 -0.001489 0.514184 0.857678
42.703000 -0.511525 1.762517 0.001926 -0.001765 -0.001411 0.460536 0.887638
43.198000 -0.440062 1.850512 0.002459 -0.001735 -0.001338 0.433582 0.901112
43.660000 -0.371656 1.934314 0.000558 -0.001200 -0.001196 0.411805 0.911270
44.386000 -0.368494 1.985276 -0.001464 -0.000812 -0.000880 0.549257 0.835653
44.617000 -0.388023 1.987297 0.000046 -0.001336 -0.000508 0.636566 0.771221
44.848000 -0.403917 1.985060 0.001565 -0.001784 -0.000090 0.697204 0.716870
45.574000 -0.385936 2.078186 0.000583 -0.001777 -0.000454 0.648250 0.761425
45.805000 -0.351119 2.133029 -0.002397 -0.001253 -0.001523 0.587225 0.809421
46.036000 -0.323601 2.183467 -0.003118 -0.000915 -0.001921 0.535813 0.844334
46.531000 -0.256942 2.271032 -0.001358 -0.001076 -0.001664 0.466108 0.884726
47.224000 -0.190040 2.336463 0.001606 -0.001555 -0.001541 0.422317 0.906445
49.237000 -0.141544 2.365294 0.004630 -0.001757 -0.001550 0.369243 0.929330
49.732000 -0.050143 2.438405 0.007847 -0.002032 -0.001594 0.344071 0.938940
50.227000 0.037364 2.508600 0.011188 -0.002748 -0.001164 0.322994 0.946396
50.920000 0.103763 2.560367 0.013532 -0.003599 -0.000335 0.373933 0.927449
51.151000 0.093309 2.555034 0.015833 -0.004836 0.001029 0.477392 0.878676
51.382000 0.077958 2.551934 0.014556 -0.004389 0.001182 0.572292 0.820037
51.646000 0.063797 2.555903 0.013776 -0.004102 0.001443 0.640696 0.767783
52.438000 0.113009 2.662405 0.012394 -0.004076 0.000825 0.537856 0.843026
52.669000 0.140543 2.706810 0.011450 -0.003910 0.000422 0.477229 0.878770
52.900000 0.165725 2.760224 0.008668 -0.003231 -0.000164 0.421523 0.906812
53.131000 0.205306 2.797010 0.008036 -0.002884 -0.000821 0.371159 0.928565
53.362000 0.247170 2.830534 0.007550 -0.002538 -0.001419 0.335133 0.942166
54.814000 0.327016 2.870852 0.008488 -0.002513 -0.001545 0.279017 0.960282
55.342000 0.369971 2.898714 0.009307 -0.002672 -0.001415 0.311842 0.950129
55.573000 0.361009 2.890263 0.008031 -0.002704 -0.001102 0.412073 0.911146
55.804000 0.344859 2.906232 0.010296 -0.003344 -0.000018 0.513756 0.857930
56.200000 0.326331 2.917366 0.012578 -0.003804 0.001170 0.606282 0.795240
57.685000 0.351265 2.937443 0.014348 -0.004241 0.001274 0.548333 0.836248
57.916000 0.391285 2.972929 0.015967 -0.004722 0.001288 0.475232 0.879847
58.147000 0.435252 3.002337 0.017594 -0.005268 0.001384 0.412000 0.911167
58.444000 0.491418 3.042829 0.017113 -0.005218 0.001265 0.354223 0.935145
58.939000 0.592851 3.102994 0.016440 -0.005186 0.001093 0.283957 0.958822
59.665000 0.630787 3.148731 0.015853 -0.004906 0.001860 0.389618 0.920961
